,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,EXAM_TYPE,ENTRY_SALARY,OPEN_DATE,REQUIREMENT_SET_TEXT
14,AIRPORT INFORMATION SPECIALIST 1783 121115.txt,AIRPORT INFORMATION SPECIALIST,1783,"An Airport Information Specialist provides and/or supervises the provision of information services at Los Angeles World Airports; plans, organizes and coordinates special events for the Department; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$42,991-$62,869",12-11-15,
15,AIRPORT LABOR RELATIONS ADVOCATE 9210 020119.txt,AIRPORT LABOR RELATIONS ADVOCATE,9210,"The Airport Labor Relations Advocate advises senior management on labor relations activities that directly affect operations at the airports by working as liaison with airline employee unions and individual legislators, officials, airline administrators, and leaders of airline employee unions to establish or maintain support for LAWA's (Los Angeles World Airports) position on various issues; advocates legislation that support effective airport operations; informs management of the airport industry labor relations environment, proposals, and actions of employee unions, City, County, State and Federal authorities and agencies; examines effects of proposed legislation to determine the effect on LAWA activities and advise management. Investigates labor related concerns received from the public and recommends resolve.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$93,918-$137,327",02-01-19,
16,AIRPORT MANAGER 7260 120216.txt,AIRPORT MANAGER,7260,"An Airport Manager manages, through subordinate supervisors, the landside transportation, air side operations, construction project management, and maintenance activities at a commercial or general aviation airport; coordinates with law enforcement to maintain security of airport property, buildings, facilities, and airfield; participates in planning and coordinating the use of airport facilities by airport tenants and other concerned organizations; may direct the public and community relations activities at the outlying airport; fulfills Equal Employment Opportunity responsibilities; and applies sound supervisory principles and techniques in building and maintaining an effective work force.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$99,326-$141,378",12-02-16,
17,AIRPORT POLICE CAPTAIN 3228 021618.txt,AIRPORT POLICE CAPTAIN,3228,"An Airport Police Captain plans, supervises, directs and controls civilian and sworn Airport Police Division employees within a division, section or large tactical group; applies sound management techniques to ensure the mission of the Airport Police Division is met through enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any one of the airports of the City of Los Angeles; and does other related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$142,568-$187,001",02-16-18,
18,AIRPORT POLICE LIEUTENANT 3227 091616.txt,AIRPORT POLICE LIEUTENANT,3227,"An Airport Police Lieutenant plans, supervises, directs and controls employees of the Airport Police Division of the Los Angeles World Airports (LAWA), civilian and sworn, during a specific time period, watch, or in a particular unit; applies sound supervisory and management techniques to ensure the mission of the Airport Police Division of the Los Angeles World Airports is met through the enforcement of federal, state and local laws and regulations, City of Los Angeles ordinances, Airport Security Program requirements and airport rules and regulations at any of the four City of Los Angeles airports; and does other related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$102,186-$134,028",09-16-16,
19,AIRPORT POLICE OFFICER 3225 110906 Rev 060115.txt,AIRPORT POLICE OFFICER,3225,"An Airport Police Officer is a sworn peace officer, authorized to carry a firearm who enforces federal and state regulations, City of Los Angeles ordinances, and security, traffic, and safety rules and regulations; engages in law enforcement activities, including uniformed foot, vehicle, motorcycle, bicycle patrol and plainclothes assignments, arrest, and report writing at Los Angeles World Airports; provides information to the public regarding locations and operations of the Department; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$51,448-$83,019",11-09-06,
20,AIRPORT POLICE SPECIALIST 3236 063017 (2).txt,AIRPORT POLICE SPECIALIST,3236,"As a sworn member of the Los Angeles World Airports (LAWA) Airport Police Division, an Airport Police Specialist is responsible for enforcement of activities on Airport property including, but not limited to enforcement of State and Federal laws, City of Los Angeles ordinances, security, traffic, aviation and safety rules and regulations. Incumbents in this class make arrests, apprehend and/or assist other law enforcement agencies with apprehending law violators; issue parking and/or traffic citations; respond to radio calls for police assistance at various screening stations and other locations within the airport jurisdictions.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,,06-30-17,
21,AIRPORT SUPERINTENDENT OF OPERATIONS 7268 121815 (1).txt,AIRPORT SUPERINTENDENT OF OPERATIONS,7268,"An Airport Superintendent of Operations inspects airport facilities; reviews contract and private ground transportation services to ensure compliance with contract terms and airport rules, regulations, and procedures; enforces safety operating rules, regulations, and procedures; acts as liaison between the operations office and airport maintenance, tenants, and the public; directs the activities of personnel in the Airport Operations Division who enforce operating and security rules, regulations and procedures for the safe and efficient operation of airport facilities and equipment; may act for an Airport Manager on an assigned or rotating shift; may supervise the operation, maintenance and security of a commercial or general aviation airport; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$53,682-$78,467",12-18-15,
22,AIRPORTS MAINTENANCE SUPERINTENDENT 3331 021518.txt,AIRPORTS MAINTENANCE SUPERINTENDENT,3331,"An Airports Maintenance Superintendent plans, organizes, and directs, through subordinate supervisors, the work of several crews of skilled craft and maintenance workers engaged in the operation, custodial care, maintenance, alteration, repair, and construction of airports buildings, grounds, airfields, and appurtenant equipment, including complex air-conditioning equipment; applies sound supervisory techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$90,369-$132,108",02-16-18,
23,AIRPORTS MAINTENANCE SUPERVISOR 3336 111618.txt,AIRPORTS MAINTENANCE SUPERVISOR,3336,"An Airports Maintenance Supervisor plans, organizes, and directs the work of a labor and maintenance crew performing a variety of maintenance activities on airport properties including the operations, custodial care, maintenance, alteration, repair and construction of airport buildings, airfields, and appurtenant equipment; and applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$66,523-$97,321",11-16-18,
24,AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR 1788 120817.txt,AIRPORTS PUBLIC AND COMMUNITY RELATIONS DIRECTOR,1788,"An Airports Public and Community Relations Director plans, develops, administers and assists in the planning and administration of the public and community relations programs of the Los Angeles World Airports; advises management of the potential public relations effect of proposed actions; maintains and develops strong community outreach programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$86,777-$123,463",12-08-17,
25,ANIMAL CARE ASSISTANT 4323 020119.txt,ANIMAL CARE ASSISTANT,4323,"Animal Care Assistants perform work in the receiving, care, and disposition of animals in the City animal shelters; and work with Animal Care Technicians in performing such work. NOTES: Animal Care Assistants are hired in lieu of Animal Care Technicians. Employment as an Animal Care Assistant is intended to develop skills necessary for regular full time employment with the City as an Animal Care Technician. Upon successful completion of probation, Animal Care Assistants will be offered Charter Section 1014 transfers to Animal Care Technician. The Animal Care Assistant class will be utilized for the duration of the Targeted Local Hire Program solely as a vehicle to transition Targeted Local Hire Program participants to full time regular employment as an Animal Care Technician.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$39,337-$57,545",02-01-19,
26,ANIMAL CARE TECHNICIAN 4310 040116 REV 041416.txt,ANIMAL CARE TECHNICIAN,4310,"An Animal Care Technician receives and cares for all types of domestic and wild animals; assists with transferring animals to other shelters; explains regulations regarding disposition of animals to the public; works with the public to adopt animals both in the shelter and at mobile adoption events; cares for dangerous and/or diseased and injured animals; interfaces with medical staff regarding the health of animals; and cleans kennels, cages, vehicles, buildings, yards and equipment. Animal Care Technicians must assist in humanely euthanizing animals due to disease, injury or overcrowded conditions. Animal Care Technicians require contact with the public, volunteers, adoption partners, local veterinarians/clinics, internal staff and staff in other departments; and must provide excellent customer service and animal care. An Animal Care Technician must be available for assignment to various shifts, weekends, and holidays, at any one of the animal care centers located in Central Los Angeles, South Los Angeles, West Los Angeles, San Pedro and the San Fernando Valley.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$38,565-$56,396",04-01-16,
27,ANIMAL CARE TECHNICIAN SUPERVISOR 4313 122118.txt,WATER TREATMENT OPERATOR,5885,"A Water Treatment Operator does skilled work in the operation, regulation, maintenance and repair of equipment used in the treatment of potable water. NOTE: Entry-level positions are trainee positions. A Water Treatment Operator in a training position must obtain a T3 (or higher) Water Treatment Operator license and be assigned to a permanent position within three years. A Water Treatment Operator in a trainee position receives extensive on-the-job training, which must be completed prior to assignment to a permanent position. Assignment to the highest pay grade may require higher-grade certification. CONDITIONS OF EMPLOYMENT A Water Treatment Operator may be assigned to a night shift or continuous shift requiring 10 consecutive days on shift and 4 days off. Routine assignments will be made to either the Los Angeles Aqueduct Filtration Plant or the field operations section of the Water Operations Division. Work locations include the greater Los Angeles and Owens Valley areas. Water Treatment Operators will be required to work with hazardous chemicals. Cal/OSHA Regulations require that all employees engaged in such work must wear a Self-Contained Breathing Apparatus (SCBA). Therefore, all Water Treatment Operators will be medically evaluated to certify that they are physically able to wear the SCBA and must be free of any facial hair that would impair a good SCBA mask-to-face seal.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$65,646-$81,536",12-21-18,
28,ANIMAL CONTROL OFFICER  4311 061518.txt,ANIMAL CONTROL OFFICER,4311,"An Animal Control Officer enforces State and City ordinances dealing with the care, treatment, licensing, and impounding of animals in an assigned area of the City; picks up sick, injured, stray, vicious or unwanted animals; conducts humane investigations; conducts permit inspections, issues citations, and makes arrests; may be required to handle money accurately and collect animal licensing and other fees; and keeps records and prepares reports which may be used as legal evidence. Animal Control Officers may work alone at night and on graveyard shifts.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$46,374-$67,818",06-15-18,
29,ANIMAL KEEPER 4304 083118.txt,ANIMAL KEEPER,4304,"An Animal Keeper cares for exotic mammals, birds, and reptiles (including venomous varieties) at the Los Angeles Zoo; observes and reports on animal behavior and condition for illnesses, compatibility, imminent birth and other signs reflecting the animal's well-being; prepares food for animals as instructed; maintains the exhibit premises in a clean and aesthetically pleasing manner; answers questions about animals from the general public; may make educational and other presentations before groups, and on radio and television; and may provide training and supervision to volunteers and students in caring for animals.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$45,810-$66,983",08-31-18,
30,APPARATUS OPERATOR 2121 071417 (1).txt,APPARATUS OPERATOR,2121,,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$93,792-$110,455",07-14-17,
31,APPLICATIONS PROGRAMMER 1429 062918.txt,APPLICATIONS PROGRAMMER,1429,"An Applications Programmer prepares programs by analyzing specifications developed by systems professionals; determines computer processing requirements; develops systems and/or programming flowcharts, codes programs and/or integrates and enhances Commercial Off the Shelf (COTS) software solutions; tests, debugs, and corrects errors in programs; prepares program and systems documentation; assists in analyzing and resolution of computer systems problems; and performs basic network configuration, scripting, network and implementation tasks; maintains configuration databases and related processing; write SQL queries and distribute routine reporting for RDBMS; and performs other related duties.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$58,986-$86,255",06-29-18,
32,APPRENTICE - METAL TRADES 3789 070816.txt,APPRENTICE - METAL TRADES,3789,"An Apprentice - Metal Trades works as an apprentice in a specific metal trade, receives on-the-job training assisting a journey-level Sheet Metal Worker, Structural Steel Shop Worker, Blacksmith, Welder, or Auto Body Builder and Repairer; attends approved classroom instruction during off duty hours.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$63,036-$81,056",07-08-16,
33,APPRENTICE MACHINIST 3764 071516.txt,APPRENTICE MACHINIST,3764,"An Apprentice Machinist works as an apprentice under close supervision, assisting journey-level machinists and receiving on-the-job instruction in using precision hand and machine tools in the repair, rebuilding, and dismantling, fabrication, and installation of machinery and equipment.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$69,655-$89,544",07-15-16,
34,AQUARIST 2400 050214.txt,AQUARIST,2400,An Aquarist procures and maintains a variety of live seawater animals and plant life in aquaria; and maintains the electrical and mechanical components of large seawater systems.,,,,,,,,,,,OPEN COMPETITIVE BASIS,"$55,624-$69,133",05-02-14,
35,AQUARIUM EDUCATOR 2493 010816.txt,AQUARIUM EDUCATOR,2493,An Aquarium Educator develops and teaches educational programs about Southern California marine life to a diverse audience in laboratory classrooms and other field locations throughout greater Los Angeles; and does related work.,,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$50,342-$62,536",01-08-16,
36,AQUATIC DIRECTOR 2419  082517 REV 0090717.txt,AQUATIC DIRECTOR ,2419,"An Aquatic Director plans, organizes, directs, and supervises the operation of a comprehensive aquatics program associated with public pools and open water facilities on a City-wide basis.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$74,082-$89,596",08-25-17,
37,AQUATIC FACILITY MANAGER 2423 052915 REVISED 060915.txt,AQUATIC FACILITY MANAGER,2423,"An Aquatic Facility Manager directs or assists in the direction of the operation of a City pool, ocean beach, or lake facility; assigns, reviews, and evaluates the work of employees at these facilities; formulates, organizes, and conducts a comprehensive program of aquatic activities for adults and children at a City aquatic facility or may plan and organize specialized regional aquatic programs; coaches team and individual aquatic sports; conducts swimming, lifesaving, and instructor level classes; may act as a lifeguard; recruits, trains, certifies and supervises lifesaving personnel; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$44,933-$65,688",05-29-15,
38,AQUEDUCT AND RESERVOIR KEEPER 5813 063017 (1).txt,AQUEDUCT AND RESERVOIR KEEPER       ,5813,"An Aqueduct and Reservoir Keeper patrols and inspects a reservoir, a section of an aqueduct, or water shed to locate actual or potentially unsafe or unsanitary conditions; operates gates and valves as instructed to control the flow of water; monitors pressure, flow and various alarm systems; operates remote valves through electrical control panels; and maintains reservoir grounds. VACANCIES It is expected that most appointments made from the eligible list resulting from this examination will be to positions that are located in the Owens Valley near Bishop, Independence, and Lone Pine, California and Antelope Valley near Mojave, California. NOTE: Some positions in the Owens Valley may require at least one year of data entry experience.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$55,415-$68,841",06-30-17,
39,AQUEDUCT AND RESERVOIR SUPERVISOR 5816 091115.txt,AQUEDUCT AND RESERVOIR SUPERVISOR,5816,"An Aqueduct and Reservoir Supervisor supervises a group of employees engaged in patrolling and inspecting a reservoir or a section of the aqueduct to locate actual or potentially unsafe or unsanitary conditions, operating gates, valves, water measuring devices, and related equipment as instructed to control the flow of water, and maintaining reservoir grounds; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$94,419-$99,681",09-11-15,
40,ARCHITECT 7925 033018.txt,ARCHITECT,7925,"An Architect assigns, reviews and evaluates the work of architectural employees engaged in professional and sub-professional work; performs responsible professional architectural work preparing, and/or supervising and reviewing the preparation of designs, plans, details, specifications, estimates, studies and reports and observes construction to ensure architectural integrity, and compliance with agencies having jurisdiction; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$89,637-$131,063",03-30-18,
41,ARCHITECTURAL ASSOCIATE 7926 013114 REV 032916.txt,CAMPUS INTERVIEWS ONLY,7926,"An Architectural Associate performs routine and moderately difficult professional architectural work in preparing and checking designs, plans, specifications, estimates, and reports; may prepare designs and drawings using Auto-CADD REVIT applications and prepares physical and digital models; coordinates the preparation of plans and specifications with private and public agencies; administers contracts; and may serve as a lead worker for other employees engaged in this work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$64,916-$92,394",01-31-14,
42,ARCHITECTURAL DRAFTING TECHNICIAN 7922 080417 REVISED 081717.txt,ARCHITECTURAL DRAFTING TECHNICIAN,7922,"An Architectural Drafting Technician performs responsible sub-professional architectural work consisting of drafting, tracing, sketching, and computing, in the preparation of architectural and structural plans and designs.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$50,759-$74,228",08-04-17,
43,ARCHIVIST 1191 020918.txt,ARCHIVIST,1191,"An Archivist performs professional archival work in appraising, analyzing, classifying, describing, preserving and providing reference service from historic documents and manuscripts; implements systems, standards and procedures for maintaining, retrieving, protecting and preserving historical records; prepares finding aids to make archival materials accessible to the public; and does related work.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$57,273-$83,728",02-09-18,
44,ART CENTER DIRECTOR 2478 053014.txt,ART CENTER DIRECTOR,2478,"An Art Center Director assigns, reviews and evaluates the work of art instructors and administrative support staff engaged in conducting community arts programs; acts as the administrative head performing responsible work in connection with administrative, fiscal and personnel matters of the art center; may act as an arts instructor; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$51,281-$63,725",05-30-14,
45,ART CURATOR 2448 071516 REV 072816.txt,ART CURATOR,2448,"An Art Curator performs professional curatorial and educational work at the City's art galleries, and with the City's permanent art collection; secures, arranges, installs and maintains art exhibitions; designs exhibitions; solicits donations and effects loans from other institutions; provides technical advice; prepares educational material to describe and publicize exhibits; plans corollary educational programming and events for the public; arranges for documentation of events related to exhibitions; supervises development, installation and maintenance of exhibitions; prepares exhibition budgets and promotes interest in the City's visual arts program.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$50,342-$73,581",07-15-16,
46,ART INSTRUCTOR 2447 051316.txt,ART INSTRUCTOR,2447,"An Art Instructor teaches visual, performing, and communications arts to classes of children, youth, and adults; designs, implements and coordinates the art instruction program of a center; and teaches interpretation programs in arts or architecture at arts centers, museums, and historic sites operated by the City.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$43,493-$63,579",05-13-16,
47,ARTS ASSOCIATE 2454 072117 REV 072817.txt,ARTS ASSOCIATE,2454,"An Arts Associate performs a broad range of entry-level professional arts administration work in the areas of: community and public arts program coordination; cultural grant administration; performing arts and festival production; preparation and development of marketing materials; project management in public art, mural commissioning, and conservation of artworks; and art collection management and/or archives, while receiving on-the-job training and experience in preparation for career advancement in various art administration areas.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$48,797-$71,326",07-21-17,
48,ARTS MANAGER 2455 092818.txt,ARTS MANAGER,2455,"An Arts Manager assigns, reviews and evaluates the work of a staff engaged in the administration of diverse art activities and programs, such as community and public arts, architectural design and review, cultural grant programs, art collections management, historic preservation, development and fund raising, marketing, youth arts education programs, and cultural planning, or performs professional staff work in the above programs; develops budgets and expenditure plans; utilizes and maintains financial tracking and management systems; engages with the general public and elected officials as required; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$59,842-$87,508",09-28-18,
49,ASBESTOS SUPERVISOR 3440 012916.txt,ASBESTOS SUPERVISOR ,3440,"An Asbestos Supervisor supervises crews of Asbestos Workers, other crafts, and helpers engaged in the removal, installation, and disposal of insulating materials from equipment or areas. Supervises crews engaged in the containment, removal, and disposal of hazardous materials, such as asbestos and lead, from equipment or areas; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$100,829 (flat-rated)",01-29-16,
50,ASBESTOS WORKER 3435 100518.txt,ASBESTOS WORKER,3435,"An Asbestos Worker fabricates, removes, installs, and disposes of insulating materials and coverings from equipment and areas; sets-up and maintains containment areas for the removal and disposal of hazardous materials in conjunction with insulation work and elimination of possible Hantavirus contamination; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$98,971 (flat-rated)",10-05-18,
51,ASPHALT PLANT OPERATOR 4143 102414.txt,ASPHALT PLANT OPERATOR,4143,"An Asphalt Plant Operator performs routine operating functions, and maintenance, inspection and repair activities of asphalt plant machinery and its appurtenances; or measures, weighs and mixes bituminous materials and aggregate, according to formula, by operating mixing machinery; operates dryers, pumps, and auxiliary equipment or assists in such work; and performs a variety of maintenance and regular repair tasks some of which are performed in confined spaces and heights above 75 feet. An Asphalt Plant Operator monitors and evaluates asphalt plant operations and makes adjustments and corrections when necessary, and reads and interprets operation/maintenance manuals.",,,,,,,,,,,OPEN COMPETITIVE BASIS,"$46,165-$57,336",10-24-14,
52,ASPHALT PLANT SUPERVISOR 4145 110317.txt,ASPHALT PLANT SUPERVISOR,4145,An Asphalt Plant Supervisor supervises the operation and maintenance of a municipal asphalt plant.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$72,767-$103,564",11-03-17,
